id,titulo,director
1,Forest Gump,Robert Zemeckis
2,Titanic,James Cameron
3,El Padrino,Francis Ford Coppola
4,Gladiator,Ridley Scott
5,El SeÃ±or de los anillos: El retorno del rey,Peter Jackson
6,El caballero oscuro,Christopher Nolan
7,Cadena perpetua,Frank Darabont
8,Piratas del Caribe: La maldiciÃ³n de la Perla Negra,Gore Verbinski
9,Braveheart,Mel Gibson
10,La lista de Schindler,Steven Spielberg
11,Toy Story,John Lasseter
12,Eduardo Manostijeras,Tim Burton
13,El SeÃ±or de los anillos: La comunidad del anillo,Peter Jackson
14,Salvar al soldado Ryan,Steven Spielberg
15,Regreso al futuro,Robert Zemeckis
16,Monstruos S.A.,Pete Docter
17,Buscando a Nemo,Andrew Stanton
18,El SeÃ±or de los anillos: Las dos torres,Peter Jackson
19,Harry Potter y el Prisionero de Azkaban,Alfonso CuarÃ³n
20,American History X,Tony Kaye
21,300,Zack Snyder
22,El sexto sentido,M. Night Shyamalan
23,Pulp Fiction,Quentin Tarantino
24,V de Vendetta,James McTeigue
25,El silencio de los corderos,Jonathan Demme
26,Rocky,John G. Avildsen
27,El club de la pelea,David Fincher
28,E.T,Steven Spielberg
29,Parque JurÃ¡sico,Steven Spielberg
30,Matrix,Andy y Lana Wachowski
31,La milla verde,Frank Darabont
32,Ratatouille,Brad Bird
33,Grease,Randal Kleiser
34,El Padrino. Parte II,Francis Ford Coppola
35,Wall-E,Andrew Stanton
36,Iron Man,Jon Favreau
37,El exorcista,William Friedkin
38,Piratas del Caribe: El cofre del hombre muerto,Gore Verbinski
39,Seven,David Fincher
40,Terminator 2: el juicio final,James Cameron
41,El resplandor,Stanley Kubrick
42,Hombres de negro,Barry Sonnenfeld
43,Spider-Man,Sam Raimi
44,Regreso al futuro II,Robert Zemeckis
45,El show de Truman,Peter Weir
46,Toy Story 2,John Lasseter
47,Pesadilla antes de navidad,Henry Selick
48,Star Wars. Episodio IV: Una nueva esperanza,George Lucas
49,Saw,James Wan
50,Terminator,James Cameron
51,Kill Bill Vol. 1,Quentin Tarantino
52,Lo que el viento se llevÃ³,Victor Fleming
53,El Laberinto del Fauno,Guillermo del Toro
54,Los increÃ­bles,Brad Bird
55,El viaje de Chihiro,Hayao Miyazaki
56,El precio del poder,Brian De Palma
57,King Kong,Peter Jackson
58,Ben-Hur,William Wyler
59,Indiana Jones y la Ãºltima cruzada,Steven Spielberg
60,Infiltrados,Martin Scorsese
61,Entrevista con el vampiro,Neil Jordan
62,Batman Begins,Christopher Nolan
63,En busca del arca perdida,Steven Spielberg
64,Star Wars. Episodio III: La venganza de los Sith,George Lucas
65,Alien,Ridley Scott
66,El bueno el feo y el malo,Sergio Leone
67,Star Wars. Episodio V: El imperio contraataca,Irvin Kershner
68,El Padrino. Parte III,Francis Ford Coppola
69,Star Wars. Episodio VI: El retorno del Jedi,Richard Marquand
70,Escuela de Rock,Richard Linklater
71,El planeta de los simios,Franklin J. Schaffner
72,Rambo,Ted Kotcheff
73,Full Metal Jacket,Stanley Kubrick
74,TiburÃ³n,Steven Spielberg
75,El profesional,Luc Besson
76,American Beauty,Sam Mendes
77,Casablanca,Michael Curtiz
78,AmÃ©lie,Jean-Pierre Jeunet
79,Trainspotting,Danny Boyle
80,axi driver,Martin Scorsese
81,Alguien volÃ³ sobre el nido del cuco,Milos Forman
82,Kill Bill Vol. 2,Quentin Tarantino
83,Spider-Man 2,Sam Raimi
84,X-Men 2,Bryan Singer
85,Transformers,Michael Bay
86,Star Wars. Episodio I: La amenaza fantasma,George Lucas
87,Blade Runner,Ridley Scott
88,Apocalypse Now,Francis Ford Coppola
89,Mejor... imposible,James L. Brooks
90,La vida de Brian,Terry Jones
91,El libro de la selva,Wolfgang Reitherman
92,Los cazafantasmas,Ivan Reitman
93,Sweeney Todd: El barbero diabÃ³lico de la calle Fleet,Tim Burton
94,Ocean's Eleven,Steven Spielberg
95,Blancanieves y los siete enanitos,David Hand
96,Predator,John McTiernan
97,Indiana Jones y el templo maldito,Steven Spielberg
98,Uno de los nuestros,Martin Scorsese
99,Mouling Rouge,Baz Luhrmann
100,Psicosis,Alfred Hitchcock
